# 1-d slice in y-direction, file: plt_2d_000400
# time =       0.594868597708E-02
#                       y                  density      CH4_ConsumptionRate                   Y(CH4)               x_velocity                     temp  
       0.251953125000E-02        1.14395563518          -0.517428964665E-13       0.392668096105E-01      -0.546278272745E-15        298.000000000      
       0.255859375000E-02        1.14395561064          -0.492210320489E-12       0.392668095197E-01      -0.482196075655E-15        298.000000000      
       0.259765625000E-02        1.14395558662           0.147729741546E-12       0.392668094333E-01      -0.445324259547E-15        298.000000000      
       0.263671875000E-02        1.14395556356           0.216805246207E-12       0.392668093514E-01      -0.433749949502E-15        298.000000000      
       0.267578125000E-02        1.14395554104           0.156108890463E-12       0.392668092737E-01      -0.467053023740E-15        298.000000000      
       0.271484375000E-02        1.14395551950          -0.290994945222E-12       0.392668092002E-01      -0.495741797053E-15        298.000000000      
       0.275390625000E-02        1.14395549853          -0.185154952114E-12       0.392668091306E-01      -0.579102106776E-15        298.000000000      
       0.279296875000E-02        1.14395547856           0.413350053851E-13       0.392668090648E-01      -0.689732671088E-15        298.000000000      
       0.283203125000E-02        1.14395545918           0.117966028689E-12       0.392668090027E-01      -0.832430793101E-15        298.000000000      
       0.287109375000E-02        1.14395544079          -0.152637242919E-12       0.392668089440E-01      -0.978213470607E-15        298.000000000      
       0.291015625000E-02        1.14395542299           0.381127642365E-12       0.392668088887E-01      -0.114548394788E-14        298.000000000      
       0.294921875000E-02        1.14395540619          -0.713108042803E-13       0.392668088365E-01      -0.133595252414E-14        298.000000000      
       0.298828125000E-02        1.14395538995          -0.474983686280E-13       0.392668087874E-01      -0.156583207151E-14        298.000000000      
       0.302734375000E-02        1.14395537470          -0.222575852131E-12       0.392668087411E-01      -0.176769657780E-14        298.000000000      
       0.306640625000E-02        1.14395535999           0.117969059373E-12       0.392668086976E-01      -0.201734227857E-14        298.000000000      
       0.310546875000E-02        1.14395534624           0.226292947800E-12       0.392668086567E-01      -0.226263920842E-14        298.000000000      
       0.314453125000E-02        1.14395533301           0.179103907134E-12       0.392668086183E-01      -0.252156391634E-14        298.000000000      
       0.318359375000E-02        1.14395532069          -0.387521763641E-12       0.392668085823E-01      -0.277494681980E-14        298.000000000      
       0.322265625000E-02        1.14395530887          -0.612223814159E-13       0.392668085484E-01      -0.302960329842E-14        298.000000000      
       0.326171875000E-02        1.14395529792          -0.126530026453E-12       0.392668085168E-01      -0.322045191213E-14        298.000000000      
       0.330078125000E-02        1.14395528743          -0.321180077722E-12       0.392668084871E-01      -0.341734216394E-14        298.000000000      
       0.333984375000E-02        1.14395527777          -0.142861152866E-12       0.392668084594E-01      -0.359856764931E-14        298.000000000      
       0.337890625000E-02        1.14395526851           0.293638574437E-12       0.392668084335E-01      -0.373735391610E-14        298.000000000      
       0.341796875000E-02        1.14395526004          -0.213480316205E-12       0.392668084094E-01      -0.383976966072E-14        298.000000000      
       0.345703125000E-02        1.14395525193           0.775805103922E-13       0.392668083869E-01      -0.391896852943E-14        298.000000000      
       0.349609375000E-02        1.14395524455          -0.251164288986E-12       0.392668083659E-01      -0.395498997194E-14        298.000000000      
       0.353515625000E-02        1.14395523749           0.294760065118E-12       0.392668083465E-01      -0.392162114331E-14        298.000000000      
       0.357421875000E-02        1.14395523112           0.362408656805E-12       0.392668083284E-01      -0.390786883450E-14        298.000000000      
